id,title,employer,city,channel,accessed,url
1,IT Project Manager,UNIFUN (разработка проектов для телеком-операторов),Алматы / удалённо,hh.kz,2026-09-10,https://hh.kz/vacancy/137200864
2,Senior Project Manager,ТОО BTS Digital (экосистема Aitu),Астана,hh.kz,2026-09-10,https://hh.kz/vacancy/137037242
3,Project Management Trainee,ООО «Брайт Эйдженси»,Алматы,hh.kz,2026-09-10,https://hh.kz/vacancy/136671738
4,Project Manager (B2G / GovTech),АО «Казахтелеком»,Астана,hh.kz,2026-09-10,https://hh.kz/vacancy/136377449
5,Product Owner Middle (GPU и облачные сервисы),АО «Казтелепорт»,Алматы,hh.kz,2026-09-10,https://hh.kz/vacancy/136529656
6,IT Business Analyst / Project Manager,АО Astana International Financial Centre Authority,Астана,hh.kz,2026-09-10,https://hh.kz/vacancy/135908773
7,Project Coordinator (IT),АО Aitas KZ,Алматы,hh.kz,2026-09-10,https://hh.kz/vacancy/136839619
8,Scrum-мастер,Автономный кластерный фонд «Astana Hub»,Астана,hh.kz,2026-09-10,https://hh.kz/vacancy/136471778
9,"Project manager, Департамент взаимодействия с ЕЭК",АО «Национальные информационные технологии»,Астана,hh.kz,2026-09-10,https://hh.kz/vacancy/136170616
10,Проектный менеджер IT,ТОО Center Professional Engineering,Астана,hh.kz,2026-09-10,https://hh.kz/vacancy/136818815
