requirement,count,share,group
Опыт ведения проектов от 1 года,8,0.8,Формальный барьер
Коммуникация с заказчиком / стейкхолдерами,8,0.8,Поведение
"Трекер задач и вики (Jira, Confluence и аналоги)",7,0.7,Инструмент
"Agile / Scrum (понимание, не сертификат)",6,0.6,Поведение
"Работа с требованиями, ТЗ",6,0.6,Поведение
"Планирование и контроль сроков (Гант, MS Project)",6,0.6,Инструмент
Понимание SDLC / основ разработки ПО,5,0.5,Знание
Отчётность и статусы для руководства,5,0.5,Поведение
Опыт в госсекторе / регулируемой отрасли (B2G),4,0.4,Контекст
Английский язык (от B1),4,0.4,Знание
Оценка трудозатрат и бюджета,4,0.4,Поведение
Казахский язык (профессиональный),3,0.3,Знание
Управление рисками,3,0.3,Поведение
Работа с данными / BI-инструментами,2,0.2,Инструмент
Сертификаты PMP / PSM / PSPO,2,0.2,Формальный барьер
